,bitcoin,ethereum,xrp,bitcoincash,eos,stellar
2019-01-05 16:54:15.315612,3868.12871941,156.719868179,0.358435929846,162.281174119,2.72797418115,0.114812214177
2019-01-05 16:58:48.254758,3872.38246321,156.759758728,0.357998739269,162.122100888,2.73013981661,0.114731098174
2019-01-05 17:03:20.046565,3868.37487235,156.890504095,0.35768767767,162.163811598,2.73043566367,0.114630665186
2019-01-05 17:07:52.169152,3871.10441357,156.890740046,0.357932355453,162.543059768,2.73708156886,0.114594912369
2019-01-05 17:12:34.937366,3871.42762382,157.144924369,0.358216546996,162.887818858,2.74077067879,0.114694235497
2019-01-05 17:17:06.293226,3872.67557312,157.569311078,0.358377895486,162.768188148,2.74429680942,0.114616162879
2019-01-05 17:21:38.373656,3875.51046571,157.831130911,0.358625042317,162.988466543,2.75169771601,0.114888900323
2019-01-05 17:26:09.957132,3875.13887614,157.490291628,0.358975629866,163.025731924,2.7427962738,0.114926249737
2019-01-05 17:30:41.256312,3871.29013057,157.394873945,0.35856522429,162.770069724,2.73792106435,0.11480557913
2019-01-05 17:35:13.521350,3869.61583376,157.179997609,0.358214505289,162.274529305,2.73284318279,0.114679470856
2019-01-05 17:39:44.797606,3869.58705073,157.151913052,0.358421458856,162.494197783,2.73640846971,0.114745072047
2019-01-05 17:44:16.732202,3870.16105932,157.325436052,0.358509010832,162.63702008,2.74073338538,0.114843341187
2019-01-05 17:48:48.094690,3874.70345847,157.564441815,0.358611061588,162.773177578,2.74142467239,0.11487102681
2019-01-05 17:53:19.454396,3871.68615648,157.633655684,0.358332995699,162.976442333,2.7431016781,0.114835921289
2019-01-05 17:57:50.926337,3873.20822159,157.399748719,0.358399339916,162.750559631,2.74107283562,0.114781997354
2019-01-05 18:02:22.629507,3870.30224867,157.373052956,0.358037124857,162.6230863,2.73665654485,0.114727385022
2019-01-05 18:06:53.910699,3869.56017167,157.145737723,0.357872186948,162.608736463,2.73522455382,0.114950094638
2019-01-05 18:11:25.635214,3869.18827818,157.1734701,0.357705950366,162.579368484,2.73919285562,0.114857180346
2019-01-05 18:15:57.842281,3868.03265136,157.800541594,0.358143636673,164.647866011,2.74360447579,0.114880902421
2019-01-05 18:20:29.167895,3871.39467745,157.953279613,0.358259719599,164.668690713,2.74384990177,0.114926276702
2019-01-05 18:25:00.906784,3871.99268927,158.251452698,0.358280106497,163.449054576,2.74296996643,0.115048023283
2019-01-05 18:29:33.171233,3875.96597771,158.011069835,0.357819931266,163.439705674,2.74253075823,0.114981765205
2019-01-05 18:34:04.558522,3876.15532087,157.988167266,0.357747145764,163.653891226,2.73887685477,0.115060213579
2019-01-05 18:38:36.984910,3869.54412965,157.860329039,0.357404344287,163.274079803,2.73413150221,0.114964175467
2019-01-05 18:43:08.729404,3874.56475809,157.888247376,0.357542966327,163.541321248,2.73591009428,0.115005454939
2019-01-05 18:47:41.067444,3877.435996,158.072919353,0.357824268986,163.713818959,2.74035985862,0.115170503928
2019-01-05 18:52:12.832791,3876.16381916,158.058176168,0.357678640622,163.527396954,2.74586988603,0.115049410497
2019-01-05 18:56:45.030982,3873.61549341,158.05522063,0.357420391988,163.304020698,2.74622619726,0.115129752301
2019-01-05 19:01:18.480552,3875.28765074,157.979655048,0.357513403501,163.469831555,2.7454505253,0.114875031882
2019-01-05 19:05:52.181413,3875.33598004,158.371957462,0.357880753537,163.564389657,2.75200341915,0.114907117178
2019-01-05 19:10:23.449327,3881.14838381,158.375379873,0.358142582944,163.693526881,2.75459325829,0.115004198597
2019-01-05 19:14:54.756663,3881.92583265,157.686748774,0.357869083654,163.444249618,2.74910572254,0.114925690097
2019-01-05 19:19:26.116921,3877.59997855,157.683812812,0.357717686476,163.40960045,2.74877670898,0.115019950054
2019-01-05 19:23:57.512059,3878.07491576,157.927698632,0.357633870753,163.506340261,2.74955548547,0.115063978455
2019-01-05 19:28:29.631917,3879.9972363,157.830651543,0.357490933886,163.60022937,2.74867232637,0.115073463642
2019-01-05 19:33:00.788422,3880.33104528,157.982423947,0.357842580947,163.755726339,2.74903917226,0.115131791484
2019-01-05 19:37:32.375797,3882.42686825,158.104153171,0.357421515413,163.668988304,2.75445054937,0.115123748691
2019-01-05 19:42:04.098378,3878.95575964,158.10884829,0.357809910887,163.715472457,2.75266262888,0.115113080145
2019-01-05 19:46:36.245674,3879.66910233,158.358615118,0.357633489803,163.558630807,2.75427367278,0.115011902887
2019-01-05 19:51:08.365917,3881.54387953,158.14024457,0.357606000451,163.641089862,2.751913546,0.11523779507
2019-01-05 19:55:40.407715,3882.23255062,158.406719996,0.358598759696,163.656419596,2.75302813527,0.115096944754
2019-01-05 20:00:11.707349,3882.38848544,158.463002122,0.359188325103,163.456919178,2.75044488549,0.115142741649
2019-01-05 20:04:43.511476,3879.91926874,158.175110631,0.35873956584,163.29516428,2.74438942865,0.115003780845
2019-01-05 20:09:15.706597,3878.70061612,157.99626164,0.358466694311,163.369391796,2.74258392288,0.114806375787
2019-01-05 20:13:47.048004,3874.10301578,157.88984009,0.358355990137,163.35817003,2.73911846077,0.114728615034
2019-01-05 20:18:18.374328,3876.78856125,157.988480487,0.358177525368,163.451436076,2.73744886703,0.114894069029
2019-01-05 20:22:50.023230,3869.23781797,158.064916666,0.357744980069,163.081276401,2.72991745584,0.11464728939
2019-01-05 20:27:21.178519,3869.66605614,157.783139953,0.357425578843,162.858787694,2.72874751301,0.114699762786
2019-01-05 20:31:53.376107,3866.97868546,157.881520175,0.357783599081,162.818710981,2.73079468143,0.114656846754
2019-01-05 20:36:25.547093,3867.00202415,157.539434933,0.357805559442,162.833790512,2.72766771939,0.114546562562
2019-01-05 20:40:56.755115,3870.66640516,157.884708992,0.358482891065,163.134131819,2.73096792481,0.11474772408
2019-01-05 20:45:30.607798,3872.90436531,158.23145331,0.358716732176,163.357426413,2.73185761446,0.114783532218
